year,season,time,total_pedestrian,to_manhattan,to_brooklyn,weather,event
2019,Fall,10:00:00 PM,35,13,22,partly cloudy night,
2019,Summer,09:00:00 AM,639,305,334,clear day,
2019,Fall,11:00:00 AM,1225,577,648,clear day,
2019,Fall,08:00:00 AM,449,199,250,clear day,
2019,Fall,11:00:00 PM,33,0,33,cloudy,
2019,Winter,04:00:00 PM,172,109,63,rain,
2019,Winter,11:00:00 AM,788,387,401,cloudy,
2019,Summer,06:00:00 AM,66,40,26,rain,Father's Day
2019,Fall,03:00:00 PM,2286,1060,1226,partly cloudy day,
2019,Fall,03:00:00 PM,1900,818,1082,cloudy,
2019,Summer,10:00:00 AM,1020,611,409,clear day,
2019,Winter,07:00:00 PM,142,126,16,clear night,
2019,Summer,05:00:00 AM,61,29,32,cloudy,
2019,Fall,01:00:00 PM,2015,856,1159,clear day,
2019,Winter,06:00:00 AM,24,16,8,rain,Presidents' Day (regional holiday)
2019,Spring,05:00:00 AM,0,0,0,clear night,
2019,Spring,04:00:00 PM,1702,814,888,partly cloudy day,Tax Day
2019,Winter,06:00:00 AM,16,10,6,partly cloudy night,
2019,Spring,12:00:00 AM,25,23,2,cloudy,Cinco de Mayo
2019,Winter,06:00:00 PM,60,55,5,partly cloudy night,
2019,Summer,08:00:00 AM,447,175,272,clear day,
2019,Fall,12:00:00 AM,0,0,0,clear night,
2019,Fall,12:00:00 PM,1588,647,941,partly cloudy day,
2019,Spring,12:00:00 AM,3,2,1,partly cloudy night,
2019,Fall,08:00:00 AM,397,154,243,clear day,
2019,Winter,01:00:00 AM,0,0,0,clear night,
2019,Spring,04:00:00 AM,0,0,0,rain,
2019,Winter,09:00:00 PM,2,1,1,partly cloudy night,
2019,Spring,02:00:00 AM,0,0,0,cloudy,
2019,Fall,11:00:00 AM,818,373,445,clear day,
2019,Winter,04:00:00 PM,1215,545,670,cloudy,
2019,Spring,05:00:00 AM,0,0,0,cloudy,
2019,Fall,07:00:00 PM,5,2,3,cloudy,Thanksgiving Day
2019,Fall,09:00:00 AM,927,568,359,partly cloudy day,
2019,Spring,12:00:00 PM,2386,1111,1275,cloudy,
2019,Fall,02:00:00 PM,1712,729,983,cloudy,
2019,Spring,12:00:00 PM,1318,594,724,clear day,
2019,Summer,05:00:00 AM,38,19,19,partly cloudy night,
2019,Winter,02:00:00 PM,1200,511,689,clear day,
2019,Winter,07:00:00 PM,34,25,9,cloudy,
2019,Spring,04:00:00 PM,1461,654,807,cloudy,
2019,Summer,05:00:00 PM,2110,1069,1041,partly cloudy day,
2019,Fall,03:00:00 AM,2,1,1,cloudy,
2019,Fall,08:00:00 AM,297,120,177,cloudy,
2019,Spring,05:00:00 AM,63,47,16,partly cloudy night,
2019,Winter,03:00:00 AM,1,0,1,cloudy,
2019,Summer,08:00:00 AM,395,194,201,partly cloudy day,
2019,Summer,02:00:00 AM,0,0,0,clear night,
2019,Fall,01:00:00 PM,2180,959,1221,partly cloudy day,Daylight Saving Time ends
2019,Fall,06:00:00 AM,49,29,20,partly cloudy night,
2019,Fall,04:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,12:00:00 PM,2354,1133,1221,partly cloudy day,
2019,Winter,10:00:00 AM,558,306,252,rain,
2019,Winter,09:00:00 AM,556,313,243,clear day,
2019,Fall,12:00:00 PM,3001,1416,1585,partly cloudy day,
2019,Fall,04:00:00 PM,1644,777,867,clear day,
2019,Summer,12:00:00 PM,2913,1336,1577,partly cloudy day,
2019,Summer,07:00:00 PM,1884,982,902,partly cloudy day,
2019,Summer,06:00:00 AM,162,82,80,partly cloudy night,
2019,Winter,11:00:00 AM,519,249,270,cloudy,
2019,Winter,10:00:00 AM,177,89,88,clear day,
2019,Summer,07:00:00 PM,723,298,425,cloudy,
2019,Winter,06:00:00 PM,82,35,47,partly cloudy night,
2019,Spring,10:00:00 AM,970,487,483,clear day,
2019,Winter,01:00:00 AM,0,0,0,partly cloudy night,
2019,Winter,12:00:00 PM,0,0,0,partly cloudy day,
2019,Fall,04:00:00 AM,0,0,0,cloudy,Columbus Day (regional holiday)
2019,Spring,11:00:00 PM,17,0,17,clear night,
2019,Spring,06:00:00 AM,34,13,21,rain,
2019,Fall,06:00:00 PM,2203,897,1306,cloudy,
2019,Fall,03:00:00 PM,3031,1391,1640,partly cloudy day,
2019,Winter,12:00:00 PM,1142,553,589,clear day,Valentine's Day
2019,Summer,06:00:00 PM,455,242,213,fog,
2019,Fall,08:00:00 AM,422,164,258,clear day,
2019,Fall,12:00:00 AM,29,0,29,clear night,
2019,Summer,03:00:00 PM,1664,676,988,partly cloudy day,
2019,Spring,12:00:00 AM,20,17,3,clear night,
2019,Summer,05:00:00 PM,2042,1011,1031,clear day,
2019,Spring,10:00:00 AM,794,437,357,clear day,
2019,Fall,10:00:00 AM,844,453,391,partly cloudy day,
2019,Summer,08:00:00 AM,313,128,185,cloudy,
2019,Summer,06:00:00 PM,1704,1010,694,partly cloudy day,
2019,Spring,04:00:00 AM,0,0,0,partly cloudy night,Easter Sunday
2019,Fall,11:00:00 PM,3,2,1,cloudy,
2019,Summer,03:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,09:00:00 PM,137,82,55,clear night,
2019,Spring,11:00:00 PM,2,1,1,cloudy,Tax Day
2019,Spring,02:00:00 PM,2385,1175,1210,partly cloudy day,
2019,Spring,05:00:00 AM,2,0,2,clear night,
2019,Winter,05:00:00 PM,50,48,2,clear night,
2019,Summer,12:00:00 PM,2035,950,1085,clear day,
2019,Fall,07:00:00 PM,12,6,6,clear night,Columbus Day (regional holiday)
2019,Fall,08:00:00 AM,340,131,209,clear day,
2019,Fall,12:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,05:00:00 AM,57,40,17,clear night,
2019,Summer,04:00:00 AM,0,0,0,partly cloudy night,
2019,Fall,01:00:00 PM,1854,983,871,cloudy,Thanksgiving Day
2019,Spring,07:00:00 PM,855,433,422,clear day,
2019,Spring,04:00:00 AM,0,0,0,fog,
2019,Fall,10:00:00 AM,1768,1034,734,partly cloudy day,
2019,Spring,10:00:00 PM,0,0,0,clear night,
2019,Spring,09:00:00 PM,100,84,16,partly cloudy night,
2019,Fall,07:00:00 AM,291,126,165,clear day,
2019,Spring,03:00:00 AM,6,1,5,snow,
2019,Summer,08:00:00 AM,404,244,160,partly cloudy day,
2019,Winter,08:00:00 PM,40,40,0,rain,
2019,Spring,04:00:00 PM,753,391,362,rain,
2019,Spring,08:00:00 AM,210,95,115,clear day,St. Patrick's Day
2019,Spring,07:00:00 PM,2150,797,1353,partly cloudy day,Easter Sunday
2019,Spring,09:00:00 AM,214,107,107,rain,
2019,Fall,03:00:00 AM,0,0,0,partly cloudy night,
2019,Spring,05:00:00 AM,68,55,13,clear night,Memorial Day
2019,Summer,10:00:00 AM,1160,720,440,partly cloudy day,
2019,Winter,01:00:00 AM,0,0,0,rain,
2019,Spring,10:00:00 AM,1260,737,523,clear day,
2019,Fall,04:00:00 AM,1,0,1,clear night,
2019,Fall,07:00:00 PM,81,70,11,rain,
2019,Spring,09:00:00 PM,92,23,69,partly cloudy night,
2019,Fall,07:00:00 AM,281,130,151,cloudy,
2019,Fall,09:00:00 PM,12,8,4,cloudy,
